Unnamed: 0,code,foreign_holding,foreign_room_growth,sum_foreign_net_buy_3,close,close_pct_change_5,momentum_5,volatility_5,volume,vol_MA5,volume_change_3,sharpe,sortino,price_growth_5,foreign_holding_growth,avg_volume_5,tmp_cluster,cluster_kmeans,cluster_label,leader,pca1,pca2
230,NKG,29211020.0,-0.0895524918710878,-1835000.0,16150.0,0.0062305295950155,100.0,389.5510236156491,17689300.0,20657204.4,-0.3347169812030365,0.0408012956612772,0.0557316811703668,-0.0212121212121212,0.4275663653455093,20657204.4,2,1,Dẫn dắt,,1.3714840661330792,2.948852519695082
231,NNC,869534.0,-0.023910178551784,-9100.0,36500.0,-0.0040927694406548,-150.0,212.1320343559643,48200.0,53196.0,0.0570175438596491,0.1752690723833918,0.2920723507669189,0.0,-0.2075391566978778,53196.0,1,0,Báo bão,,-0.7079651631598817,-0.03920921385872585
232,NO1,1692400.0,0.0038555074440951,5800.0,8300.0,0.1495844875346259,1080.0,444.8595283907047,191100.0,548029.6,-0.7521677218883497,-0.0583971292163348,-0.0961981221350707,0.133879781420765,0.0607333124412409,548029.6,0,2,Tiềm năng,,0.9279812233106997,-2.0101905946166205
233,NTL,19479112.0,-0.0251141151443765,77900.0,20000.0,0.0,0.0,198.7460691435191,2075900.0,2524196.8,-0.3143574714689938,0.0349018959582674,0.0531306754209817,0.015228426395939,0.1358606023251216,2524196.8,1,0,Báo bão,,-0.8086631683175673,0.3721292826802842
234,NT2,29714920.0,-0.0619440586947113,260700.0,22150.0,0.1074999999999999,2150.0,1001.2492197250396,1922400.0,2156996.4,0.4194451582034537,0.0436720357844582,0.0656509105366624,0.1075,-0.2448259894210294,2156996.4,0,2,Tiềm năng,,1.6822760932509193,-1.7756631373040757
235,NSC,1605885.0,-0.0001867779863464,0.0,81900.0,-0.0094818828310192,-784.0,318.415137831118,1600.0,1256.6,0.1134307585247043,0.0459355971666062,0.060432550987039,0.0083723220881556,0.0580709050514314,1256.6,1,0,Báo bão,,-1.3737990092287593,0.21847535882687985
236,NVL,216769394.0,0.0703529606521162,4225649.702883841,18550.0,0.138036809815951,2250.0,948.6832980505138,20818100.0,32653191.23431421,-0.188149551821162,0.1563226575719885,0.2540176296961525,0.1174698795180722,1.4590242289604007,32689799.2,2,1,Dẫn dắt,,5.961015970693223,1.8085841676150567
237,NVT,100220.0,-0.0019916351324437,0.0,8380.0,0.0345679012345678,280.0,104.88088481701502,2200.0,6755.0,-0.8157453936348409,0.0358921355639131,0.0421591089624329,0.0269607843137254,-0.0964659213847818,6755.0,1,0,Báo bão,,-0.7417745364325362,-0.36256595971090433
238,OCB,489732225.0,-0.0024236698689957,85867.0,13700.0,0.0620155038759691,800.0,362.9738282576311,9427300.0,9045327.8,0.3333482311316085,0.1036975306926529,0.1428772390725465,0.0300751879699248,0.0375360283559323,9045327.8,2,1,Dẫn dắt,,2.123095888275071,1.8470966487656222
239,OGC,829116.0,-0.0556937458998468,-34100.0,4510.0,0.0415704387990762,180.0,25.88435821108957,859300.0,1481351.2,-0.7179894383057182,0.0347073226201807,0.0514715604828674,0.0134831460674157,0.124810748918759,1481351.2,1,0,Báo bão,,-0.6887296757976193,-0.09762273058073853
240,OPC,424617.0,0.0,424617.0,23300.0,-0.0063965884861407,-150.0,163.5542723379613,1700.0,3572.8,-0.8170272306533204,-0.0202321539750368,-0.0265754702996967,-0.0168776371308016,-0.0391693650761324,2311.0,1,0,Báo bão,,-1.6828709426729673,0.3845723012046721
241,ORS,1737555.0,-0.453050616266897,-2312635.0,11900.0,0.0867579908675799,950.0,444.4097208657794,9468600.0,8232812.2,0.0312123448378611,-0.027559888951316,-0.0379720563445803,0.072072072072072,-0.3103999117339827,8232812.2,1,0,Báo bão,,1.229034682823275,0.08234635266134556
242,PAC,9136960.0,0.0256014224010201,0.0,30950.0,-0.0064205457463883,-200.0,883.4591105421882,553200.0,902455.0,-0.5419232928527778,0.0310943894187329,0.0488883247337663,0.0180921052631578,0.6221838023785505,902455.0,1,0,Báo bão,,-0.8018887136623,-0.042258902816047564
243,PAN,45423718.0,-0.0087288876753491,-490.0,34800.0,0.0545454545454544,1800.0,587.7924803874238,657100.0,1447478.4,-0.5207972952868798,0.1276171465105156,0.1717866189490356,0.0357142857142857,0.1057046207537888,1447478.4,1,0,Báo bão,,0.7394103685588361,-0.9082174312352064
244,PC1,54771933.0,0.0148871106251651,1949135.0,27600.0,0.1311475409836064,3200.0,1502.6643005009466,4238400.0,10671662.8,-0.6772359997002644,0.0734218679309699,0.0939497131631229,0.1381443298969072,0.165531733753344,10671662.8,0,2,Tiềm năng,,3.452892226293873,-1.7769442571380227
245,PET,877830.0,0.0,877830.0,38000.0,0.1550151975683891,5100.0,1169.1877522451216,1894700.0,2986268.6,1.6514950082426272,0.1197057260202474,0.1852079791863313,0.2270361254699561,-0.0414495041980194,1319260.6,0,2,Tiềm năng,,4.047393993391273,-3.7821974521803443
246,PDN,131953.0,0.0,131953.0,98700.0,0.0154320987654321,1500.0,941.806774237716,1200.0,2562.0,-0.3704092339979014,0.1282833537569925,0.1551793259349858,0.0904751908607793,0.4999943161795632,1025.0,0,0,Báo bão,,0.6343529448678722,-1.3609249227463862
247,PDR,89342418.0,-0.00244832349866,271800.0,19550.0,0.0224895397489539,430.0,302.11620280944595,10339500.0,16783886.0,-0.6041746358766509,0.0182191198434956,0.026292868998001,0.0175931709348323,0.3572097652655762,16783886.0,1,0,Báo bão,,1.0548531397674323,1.8874605691779636
248,PGC,1212890.0,-0.0017284092873192,-2100.0,13950.0,-0.0035714285714285,-50.0,57.00877125495045,600.0,24439.0,-0.9878934624697336,-0.0248477117779122,-0.025755636324892,-0.0035714285714285,-0.0820076867069015,24439.0,1,0,Báo bão,,-1.6179491857793817,0.2947502190922094
249,PGD,45937884.0,5.660136987506448e-05,4800.0,27200.0,0.0303030303030302,800.0,154.1103500742244,7600.0,15817.0,-0.4878015905108505,-0.048798714226396,-0.0694257060811981,0.0149253731343283,-0.0098816381183039,15817.0,1,0,Báo bão,,-0.956777758021595,-0.12489171527518837
250,PGV,209926.0,0.0019090709506219,400.0,21700.0,0.1511936339522546,2850.0,1327.3093083377362,22000.0,117865.0,-0.6721848877233241,0.0411587283491851,0.0545571221759519,0.1511936339522546,0.0099102306293477,117865.0,0,2,Tiềm năng,,2.3571505435931894,-3.0107631623376263
251,PGI,22622470.0,0.000137050678246,300.0,20100.0,0.0,0.0,187.082869338689,4500.0,11089.8,-0.2516214867786462,-0.0094410778096764,-0.0127512375864426,0.0,-0.001436767656793,11089.8,1,0,Báo bão,,-1.386528392355711,0.2278917475579297
252,PHC,147045.0,0.39843046899377,67300.0,5220.0,0.0096711798839459,50.0,23.45207879911746,80500.0,107210.8,-0.5674717244714289,-0.021675362980473,-0.0243712747601345,-0.0094876660341555,1.7070139911634756,107210.8,1,0,Báo bão,,-1.5104971176944972,0.24017882666710563
253,PIT,87488.0,0.0,87488.0,7200.0,0.0027855153203342,20.0,126.57013865837392,200.0,10129.4,-0.9429223744292238,0.0792107005655484,0.12572857066579,-0.04,-0.0783460626810639,19474.4,1,0,Báo bão,,-1.3035935461281989,0.3196710624722293
254,PJT,162247.0,0.0,162247.0,9100.0,-0.0225563909774436,-210.0,192.4058211177623,12400.0,9133.2,0.6509119957395819,-0.0210577158595548,-0.0267168696911542,-0.0548400498545907,-0.0395152792413066,4121.6,1,0,Báo bão,,-2.0590429605225795,0.7709747523713651
255,PHR,20570394.0,-0.0061552453367735,19800.0,61200.0,-0.0048780487804878,-300.0,1108.1516141756056,619000.0,611924.2,-0.2250420342709198,0.0500847631894027,0.0663055191572567,-0.0129032258064516,-0.1528961460683809,611924.2,1,0,Báo bão,,-0.8119441952141165,0.10507089269755172
256,PLX,215325411.0,-0.0229491373997063,-1325200.0,36650.0,0.0041095890410958,150.0,340.2205167240964,1344300.0,2443032.8,-0.3617451614557319,0.0082430381315147,0.0111930733252328,0.0096418732782369,-0.0446052068222454,2443032.8,1,0,Báo bão,,-0.5255772677120649,0.8302702130391652
257,PMG,9345071.0,0.0,0.0,7900.0,0.0533333333333332,400.0,178.88543819998318,140.0,353.2,4.6,0.0052804158486263,0.005420623788315,0.0533333333333333,5.350700422737438e-05,353.2,1,0,Báo bão,,-0.4639636067924529,-0.6608559201547857
258,PLP,340192.0,0.0026525824363674,3000.0,5220.0,0.044,220.0,43.3589667773576,28400.0,118083.0,-0.762408707218927,0.0283329102094792,0.0353720882605514,0.0038461538461538,0.2613531871978168,118083.0,1,0,Báo bão,,-0.8764157718241625,-0.20781086047415795
259,PNC,55985.0,-0.0035596689507876,-200.0,26050.0,-0.0827464788732393,-2350.0,1137.7609590770817,3900.0,1364.4,34.45454545454545,0.0897819711969236,0.1306955730762632,-0.0827464788732394,-0.0180309753915773,1364.4,1,0,Báo bão,,-2.4053906628484616,1.3649274938400155
