,code,foreign_holding,foreign_room_growth,sum_foreign_net_buy_3,close,close_pct_change_5,momentum_5,volatility_5,volume,vol_MA5,volume_change_3,sharpe,sortino,price_growth_5,foreign_holding_growth,avg_volume_5
184,IDI,2568299.0,-0.16161786303383918,195800.0,7600.0,0.057023643949930536,410.0,187.69656363396746,1625900,2243977.4,-0.3550859125203135,-0.010407799132516755,-0.012708756490962233,0.05702364394993046,0.12752153697361565,2243977.4
185,IMP,77695374.0,0.002328585349954837,197700.0,54000.0,0.05882352941176472,3000.0,1547.5787540542187,72400,219710.2,-0.5305529619255109,0.055041618579040705,0.07118451920897106,0.06930693069306931,0.023054543983614985,219710.2
186,IJC,19847160.0,-0.06268400705378085,-688300.0,13400.0,0.019011406844106515,250.0,106.06601717798213,2307000,2451795.6,-0.20362047182121334,-0.007281360453794826,-0.00836740834223703,0.019011406844106463,0.12017753827068378,2451795.6
187,ILB,4909539.0,0.00014259991008058748,700.0,28400.0,-0.0035087719298245723,-100.0,230.21728866443183,10200,9361.0,-0.1875099569858213,0.02825256565704258,0.03864339246139821,0.0035335689045936395,0.8132438321760969,9361.0
188,ITC,258163.0,,258163.0,17000.0,0.04938271604938271,800.0,213.89249636207438,617900,1069503.0,-0.5699785302438227,0.12476383084032976,0.1786110955486064,0.0759493670886076,0.0,1526427.2
189,ITD,426656.0,0.014504608185354595,5700.0,14900.0,0.06428571428571428,900.0,371.81984885156385,18300,96168.4,-0.7445026178010471,0.041422081706709274,0.062418225150601116,0.0456140350877193,0.3060644742601929,96168.4
190,KBC,140622612.0,-0.03348176373009126,-3959500.0,33550.0,0.15689655172413786,4550.0,1380.0362314084366,15113600,12235495.8,-0.4127059309216802,0.07099760979495034,0.08891226166884793,0.1315345699831366,-0.02543146259222252,12235495.8
191,JVC,2571799.0,0.042438507737224906,44700.0,6090.0,-0.019323671497584516,-120.0,85.90692637965812,283100,939373.2,-0.8956769500966582,0.1290066296551973,0.18952001156051068,-0.02403846153846154,0.7078526855293329,939373.2
192,KDH,338737620.0,-0.01672525688879012,-1417755.0,28100.0,0.021818181818181737,600.0,270.1851217221244,3611900,3836889.8,-0.3545820847968959,-0.03493039459372556,-0.041007019025545384,0.018115942028985508,-0.10092757169041554,3836889.8
193,KDC,50906581.0,-0.0032051134567203654,-80127.0,54700.0,-0.0036429872495445936,-200.0,443.8468204234429,209200,363916.8,-0.5382856537495531,-0.049574846282945895,-0.10282391980902347,0.014842300556586271,-0.040117849239129644,363916.8
194,KHG,5551805.0,-0.2897166238247033,791681.0,6830.0,0.034848484848484906,230.0,56.30275304103673,7070100,11803223.8,-0.3003476144516648,0.07666154383094463,0.11513059527025643,0.011851851851851851,1.7306340487399885,11803223.8
195,KHP,738885.0,,738885.0,12500.0,0.03305785123966931,400.0,164.3167672515495,39500,50106.6,3.1335286730849727,0.005970453560250068,0.006586780544923065,0.016260162601626018,-0.019216525388856886,255414.2
196,KMR,35625719.0,0.0,0.0,3180.0,0.00952380952380949,30.0,11.40175425099138,81100,68755.0,3.9926126569810387,-0.0029093129569493057,-0.002885098888219722,0.009523809523809525,0.005659724588317329,68755.0
197,KOS,318393.0,0.0,0.0,39150.0,0.007722007722007707,300.0,156.52475842498527,76200,274802.2,-0.7593177511054959,0.04728928264936786,0.03607876802082086,0.007722007722007722,0.20661911836041716,274802.2
198,L10,94243.0,0.0,0.0,21050.0,0.0023809523809523725,50.0,603.7383539249486,2100,440.0,,0.03744784641987831,0.0648965078992925,0.002380952380952381,0.0010622138661398085,440.0
199,KSB,4935743.0,-0.022168762727475033,24800.0,19300.0,0.08123249299719881,1450.0,690.6518659932802,3369900,3677130.6,0.09941879148430832,0.020205724078227145,0.02634652674880394,0.06629834254143646,0.2261082747738438,3677130.6
200,LAF,387703.0,0.00025799593914399566,0.0,20300.0,-0.012165450121654486,-250.0,215.05813167606837,900,3974.6,-0.20283436669619137,0.06800505791289248,0.10167967728289501,0.015,0.1014446227929374,3974.6
