,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
1161,HSM,UPCOM,STOCK,HANOSIMEX,Tổng Công ty Cổ phần Dệt May Hà Nội,UPX
1162,HSL,HSX,STOCK,Thực phẩm Hồng Hà,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,STO
1163,HSI,UPCOM,STOCK,Phân bón Hóa sinh,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,UPX
1164,HSG,HSX,STOCK,Tập đoàn Hoa Sen,Công ty Cổ phần Tập đoàn Hoa Sen,STO
1165,HSA,UPCOM,STOCK,HESTIA,Công ty Cổ phần HESTIA,UPX
1166,HRT,DELISTED,STOCK,Vận tải đường sắt Hà Nội,Công ty Cổ phần Vận tải đường sắt Hà Nội,
1167,HRC,HSX,STOCK,Cao su Hòa Bình,Công ty Cổ phần Cao su Hòa Bình,STO
1168,HRB,UPCOM,STOCK,Harec Đầu tư và Thương Mại,Công ty Cổ phần Harec Đầu tư và Thương Mại,UPX
1169,HQC,HSX,STOCK,Địa ốc Hoàng Quân,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,STO
1170,HPX,HSX,STOCK,Đầu tư Hải Phát,Công ty Cổ phần Đầu tư Hải Phát,STO
1171,HPW,UPCOM,STOCK,Cấp nước Hải Phòng,Công ty Cổ phần Cấp nước Hải Phòng,UPX
1172,HPT,UPCOM,STOCK,DV Công nghệ Tin học HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,UPX
1173,HPP,UPCOM,STOCK,Sơn Hải Phòng,Công ty Cổ phần Sơn Hải Phòng,UPX
1174,HPM,UPCOM,STOCK,Khoáng sản Hoàng Phúc,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,UPX
1175,HPI,UPCOM,STOCK,Khu công nghiệp Hiệp Phước,Công ty Cổ phần Khu công nghiệp Hiệp Phước,UPX
1176,HPH,UPCOM,STOCK,Hóa Chất Hưng Phát Hà Bắc,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,UPX
1177,HPG,HSX,STOCK,Hòa Phát,Công ty Cổ phần Tập đoàn Hòa Phát,STO
1178,HPD,UPCOM,STOCK,Thủy điện Đăk Đoa,Công ty Cổ phần Thủy điện Đăk Đoa,UPX
1179,HPB,UPCOM,STOCK,Bao bì PP,Công ty Cổ phần Bao bì PP,UPX
1180,HOT,UPCOM,STOCK,Du lịch - DV Hội An,Công ty Cổ phần Du lịch - Dịch vụ Hội An,UPX
1181,HOM,HNX,STOCK,Xi măng VICEM Hoàng Mai,Công ty Cổ phần Xi măng VICEM Hoàng Mai,STX
1182,HNT,DELISTED,STOCK,Xe điện Hà Nội,Công ty Cổ phần Xe điện Hà Nội,
1183,HNR,UPCOM,STOCK,Cồn Rượu và Nước Giải Khát Hà Nội,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,UPX
1184,HNP,UPCOM,STOCK,Hanel Xốp Nhựa,Công ty Cổ phần Hanel Xốp Nhựa,UPX
1185,HNM,UPCOM,STOCK,HANOIMILK,Công ty Cổ phần Sữa Hà Nội,UPX
